SPECIES,SPECIESclade,SPECIESclade2,SPECIESclade3,POP,IND,IND2,Latitud,Longitud,Nota
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP01,C4ME24_3,C04ME24_03,-21.232384,55.653823,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP01,C4ME24_1,C04ME24_01,-21.232234,55.653939,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP01,C4ME24_4,C04ME24_04,-21.231647,55.653615,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP01,C4ME24_2,C04ME24_02,-21.231434,55.653857,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP01,C4ME24_5,C04ME24_05,-21.23078,55.653445,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP02,C5ME24_4,C05ME24_04,-21.216679,55.64343,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP02,C5ME24_5,C05ME24_05,-21.216563,55.643402,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP02,C5ME24_3,C05ME24_03,-21.216499,55.643115,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP02,C5ME24_1,C05ME24_01,-21.214472,55.645287,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP02,C5ME24_2,C05ME24_02,-21.213766,55.647856,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP03,C6ME24_3,C06ME24_03,-21.221032,55.645572,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP03,C6ME24_4,C06ME24_04,-21.220948,55.645332,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP03,C6ME24_1,C06ME24_01,-21.220919,55.645535,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP03,C6ME24_2,C06ME24_02,-21.220892,55.645498,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP03,C34JMC17_A,C34JMC17_A,-21.220833,55.645556,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP03,C34JMC17_B,C34JMC17_B,-21.220833,55.645556,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP03,C34JMC17_C,C34JMC17_C,-21.220833,55.645556,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP03,C34JMC17_D,C34JMC17_D,-21.220833,55.645556,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP03,C34JMC17_E,C34JMC17_E,-21.220833,55.645556,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP03,C34JMC17_F,C34JMC17_F,-21.220833,55.645556,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP03,C34JMC17_H,C34JMC17_H,-21.220833,55.645556,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP03,C34JMC17_I,C34JMC17_I,-21.220833,55.645556,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP03,C34JMC17_J,C34JMC17_J,-21.220833,55.645556,
C_boryana,C_boryana,C_boryana,hybrid,POP04,C9ME24_1,C09ME24_01,-21.270594,55.598721,
C_boryana,C_boryana,C_boryana,hybrid,POP04,C9ME24_2,C09ME24_02,-21.270532,55.59887,
C_boryana,C_boryana,hybrid,hybrid,POP04,C9ME24_3,C09ME24_03,-21.270274,55.598615,
C_boryana,C_boryana,hybrid,hybrid,POP04,C9ME24_4,C09ME24_04,-21.270156,55.598653,
hybrid,C_borbonica,hybrid,hybrid,POP05,C12ME24_1,C12ME24_01,-21.189531,55.637787,
C_boryana,C_boryana,C_boryana,C_boryana,POP06,C13ME24_3,C13ME24_03,-21.188027,55.640245,
C_boryana,C_boryana,C_boryana,C_boryana,POP06,C13ME24_2,C13ME24_02,-21.187991,55.640308,
C_boryana,C_boryana,C_boryana,C_boryana,POP06,C13ME24_4,C13ME24_04,-21.187969,55.640263,
C_boryana,C_boryana,C_boryana,C_boryana,POP06,C13ME24_1,C13ME24_01,-21.187927,55.640293,
C_boryana,C_boryana,C_boryana,C_boryana,POP06,C13ME24_5,C13ME24_05,-21.187785,55.640208,
C_boryana,C_boryana,C_boryana,C_boryana,POP06,C13ME24_7,C13ME24_07,-21.187775,55.640222,
C_boryana,C_boryana,C_boryana,C_boryana,POP06,C13ME24_6,C13ME24_06,-21.187773,55.640198,
C_boryana,C_boryana,C_boryana,C_boryana,POP06,C13ME24_8,C13ME24_08,-21.18777,55.640208,
C_boryana,C_boryana,C_boryana,C_boryana,POP06,C13ME24_9,C13ME24_09,-21.18774,55.640137,
C_boryana,C_boryana,C_boryana,C_boryana,POP06,C13ME24_10,C13ME24_10,-21.187737,55.640271,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C15ME24_2,C15ME24_02,-21.201592,55.603775,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C37JMC17_A,C37JMC17_A,-21.201578,55.603808,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C37JMC17_B,C37JMC17_B,-21.201578,55.603808,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C37JMC17_C,C37JMC17_C,-21.201578,55.603808,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C37JMC17_D,C37JMC17_D,-21.201578,55.603808,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C37JMC17_E,C37JMC17_E,-21.201578,55.603808,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C37JMC17_F,C37JMC17_F,-21.201578,55.603808,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C37JMC17_G,C37JMC17_G,-21.201578,55.603808,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C37JMC17_H,C37JMC17_H,-21.201578,55.603808,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C37JMC17_I,C37JMC17_I,-21.201578,55.603808,
C_boryana,C_boryana,hybrid,hybrid,POP07,C37JMC17_J,C37JMC17_J,-21.201578,55.603808,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C37JMC17_K,C37JMC17_K,-21.201578,55.603808,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C15ME24_3,C15ME24_03,-21.201567,55.60373,
C_boryana,C_boryana,hybrid,hybrid,POP07,C15ME24_4,C15ME24_04,-21.201562,55.60375,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C15ME24_5,C15ME24_05,-21.201562,55.60375,
C_boryana,C_boryana,C_boryana,hybrid,POP07,C15ME24_1,C15ME24_01,-21.201513,55.603754,
C_boryana,C_boryana,hybrid,hybrid,POP08,C16ME24_2,C16ME24_02,-21.166389,55.589199,
C_boryana,C_boryana,hybrid,hybrid,POP08,C16ME24_1,C16ME24_01,-21.166388,55.589204,
C_boryana,C_boryana,hybrid,hybrid,POP08,C16ME24_3,C16ME24_03,-21.166384,55.589191,
C_boryana,C_boryana,hybrid,hybrid,POP08,C16ME24_4,C16ME24_04,-21.16633,55.589128,
C_boryana,C_boryana,hybrid,hybrid,POP08,C16ME24_5,C16ME24_05,-21.166313,55.589135,
C_boryana,C_boryana,hybrid,hybrid,POP08,C16ME24_6,C16ME24_06,-21.166313,55.589135,Same coordinates than individual 5 from the population
C_boryana,C_boryana,hybrid,hybrid,POP08,C16ME24_7,C16ME24_07,-21.166297,55.589183,
C_boryana,C_boryana,hybrid,hybrid,POP08,C16ME24_8,C16ME24_08,-21.166297,55.589183,Same coordinates than individual 7 from the population
C_boryana,C_boryana,hybrid,hybrid,POP08,C16ME24_9,C16ME24_09,-21.166297,55.589183,Same coordinates than individual 7 from the population
C_boryana,C_boryana,hybrid,hybrid,POP08,C16ME24_10,C16ME24_10,-21.166297,55.589183,Same coordinates than individual 7 from the population
C_boryana,C_boryana,C_boryana,C_boryana,POP09,C17ME24_1,C17ME24_01,-21.173921,55.378168,"Taken from iNaturalist, ind one from the pop"
C_boryana,C_boryana,C_boryana,C_boryana,POP09,C17ME24_2,C17ME24_02,-21.173921,55.378168,"Taken from iNaturalist, ind one from the pop"
C_boryana,C_boryana,C_boryana,C_boryana,POP09,C17ME24_3,C17ME24_03,-21.173921,55.378168,"Taken from iNaturalist, ind one from the pop"
